lastmonth,ip,hostname,email_score,email_score_name,dnsmatch,blacklists,ip_int,lastday,blacklists_count,blacklists_snources,second_level_domain,third_level_domain,category
3.2985164516278784,85.18.245.109,smtp.igsonline.it,,Good,1,[object Object],1427305837,3.664509125022895,0,,igsonline.it,smtp.igsonline.it,enterprise
3.4558252332283224,85.18.245.170,smtp2.elt.it,,Good,1,[object Object],1427305898,3.5394708822893106,0,,elt.it,smtp2.elt.it,enterprise
2.9205201351789727,85.18.246.122,posta.gamma-meccanica.it,,Neutral,1,[object Object],1427306106,0,0,,gamma-meccanica.it,posta.gamma-meccanica.it,enterprise
3.2115050068316737,85.18.247.116,smtp1.fcworkgroup.net,,Good,1,[object Object],1427306356,3.5394708822893106,0,,fcworkgroup.net,smtp1.fcworkgroup.net,enterprise
3.541875724480797,85.18.248.198,mail.flashstart.com,,Good,1,[object Object],1427306694,3.7612400105869175,0,,flashstart.com,mail.flashstart.com,enterprise
4.290875306155002,89.43.192.253,guvja.porlikents.com,,Good,0,[object Object],1496039677,0,0,,porlikents.com,guvja.porlikents.com,enterprise
3.4424478625828963,89.96.71.196,89-96-71-196.ip11.fastwebnet.it,,Good,1,[object Object],1499482052,3.840500877953292,0,,fastwebnet.it,ip11.fastwebnet.it,consumer
3.311123646956042,89.96.129.176,mail.con.repower.com,,Neutral,1,[object Object],1499496880,3.9073339183737463,0,,repower.com,con.repower.com,enterprise
2.9018713183228013,89.96.129.177,mail04.nexusat.it,,Neutral,1,[object Object],1499496881,3.0627475153500248,0,,nexusat.it,mail04.nexusat.it,enterprise
3.1956582102411573,89.96.131.132,mail.robinson.it,,Neutral,1,[object Object],1499497348,0,0,,robinson.it,mail.robinson.it,enterprise
3.935651862144555,89.96.131.133,mail3.robinson.it,,Good,1,[object Object],1499497349,4.539431073454606,0,,robinson.it,mail3.robinson.it,enterprise
2.886580754004696,89.96.131.140,mxv3.robinson.it,,Neutral,1,[object Object],1499497356,0,0,,robinson.it,mxv3.robinson.it,enterprise
3.12476434257946,89.96.131.158,mail4.robinson.it,,Good,0,[object Object],1499497374,0,0,,robinson.it,mail4.robinson.it,enterprise
2.888189865174232,89.96.135.67,89-96-135-67.ip12.fastwebnet.it,,Neutral,1,[object Object],1499498307,3.3631805425600065,0,,fastwebnet.it,ip12.fastwebnet.it,consumer
3.320508175824905,89.96.139.113,89-96-139-113.ip12.fastwebnet.it,,Neutral,1,[object Object],1499499377,3.664509125022895,0,,fastwebnet.it,ip12.fastwebnet.it,consumer
3.277322749793562,89.96.139.120,mail3.tns.it,,Neutral,1,[object Object],1499499384,3.5394708822893106,0,,tns.it,mail3.tns.it,enterprise
3.9558919983050855,89.96.139.126,mailout.tns.it,,Good,1,[object Object],1499499390,4.292775132428255,0,,tns.it,mailout.tns.it,enterprise
2.8956212123553087,89.96.139.187,89-96-139-187.ip12.fastwebnet.it,,Neutral,1,[object Object],1499499451,3.3631805425600065,0,,fastwebnet.it,ip12.fastwebnet.it,consumer
2.8956212123553087,89.96.139.195,89-96-139-195.ip12.fastwebnet.it,,Neutral,1,[object Object],1499499459,3.3631805425600065,0,,fastwebnet.it,ip12.fastwebnet.it,consumer
3.024644766348176,89.96.147.183,smtp.rheavendors.com,,Good,1,[object Object],1499501495,3.0627475153500248,0,,rheavendors.com,smtp.rheavendors.com,enterprise
4.2163641822173625,89.96.148.119,pandora.qualitygroup.it,,Neutral,1,[object Object],1499501687,0,0,,qualitygroup.it,pandora.qualitygroup.it,enterprise
3.2813969701418353,89.96.155.4,89-96-155-4.ip13.fastwebnet.it,,Neutral,1,[object Object],1499503364,3.5394708822893106,0,,fastwebnet.it,ip13.fastwebnet.it,consumer
3.7933623106955294,89.96.157.8,mail.pierreti.com,,Good,0,[object Object],1499503880,0,0,,pierreti.com,mail.pierreti.com,enterprise
3.2055568884783963,89.96.160.248,out1.aslcn1.it,,Good,1,[object Object],1499504888,3.7612400105869175,0,,aslcn1.it,out1.aslcn1.it,enterprise
3.0860149383701185,89.96.161.60,mail.selte.eu,,Neutral,1,[object Object],1499504956,3.9073339183737463,0,,selte.eu,mail.selte.eu,enterprise
3.325524341367157,89.96.161.73,out.ietnetworks.com,,Good,1,[object Object],1499504969,3.840500877953292,0,,ietnetworks.com,out.ietnetworks.com,enterprise
2.9607975510841573,89.96.161.156,mail.cofipo.it,,Good,1,[object Object],1499505052,0,0,,cofipo.it,mail.cofipo.it,enterprise
3.696758943391158,89.96.162.83,mail.aimgroup.eu,,Good,1,[object Object],1499505235,3.965389852948028,0,,aimgroup.eu,mail.aimgroup.eu,enterprise
3.637455399817268,89.96.162.84,rmmail.aimgroup.eu,,Good,1,[object Object],1499505236,3.3631805425600065,0,,aimgroup.eu,rmmail.aimgroup.eu,enterprise
2.8832195817684565,89.96.178.106,mail.aeit.it,,Neutral,1,[object Object],1499509354,3.0627475153500248,0,,aeit.it,mail.aeit.it,enterprise
3.6207269789081566,89.96.179.37,smtp.gastaldi.it,,Good,1,[object Object],1499509541,3.5394708822893106,0,,gastaldi.it,smtp.gastaldi.it,enterprise
3.083631936349531,89.96.184.66,89-96-184-66.ip13.fastwebnet.it,,Neutral,1,[object Object],1499510850,0,0,,fastwebnet.it,ip13.fastwebnet.it,consumer
3.2971133149367398,89.96.184.88,mx2.provincia.brescia.it,,Neutral,1,[object Object],1499510872,3.664509125022895,0,,provincia.brescia.it,mx2.provincia.brescia.it,enterprise
3.09937415169811,89.96.184.227,office.nexths.it,,Good,1,[object Object],1499511011,3.0627475153500248,0,,nexths.it,office.nexths.it,enterprise
3.902949430084893,89.96.185.70,smtp00.humantools.it,,Good,1,[object Object],1499511110,3.840500877953292,0,,humantools.it,smtp00.humantools.it,enterprise
3.6912169374376576,89.96.187.70,mail.melchioni.it,,Neutral,1,[object Object],1499511622,3.9073339183737463,0,,melchioni.it,mail.melchioni.it,enterprise
